MODELYEAR,MAKE,MODEL,ENGINESIZE,CYLINDERS,FUELCONSUMPTION_CITY,CO2EMISSIONS
2014,ACURA,ILX,2,4,9.9,196
2014,ACURA,ILX,2.4,4,11.2,221
2014,ACURA,ILX HYBRID,1.5,4,6,136
2014,ACURA,MDX 4WD,3.5,6,12.7,255
2014,ACURA,RDX AWD,3.5,6,12.1,244
2014,ACURA,RLX,3.5,6,11.9,230
2014,ACURA,TL,3.5,6,11.8,232
2014,ACURA,TL AWD,3.7,6,12.8,255
2014,ACURA,TL AWD,3.7,6,13.4,267
2014,ACURA,TSX,2.4,4,10.6,212
2014,ACURA,TSX,2.4,4,11.2,225
2014,ACURA,TSX,3.5,6,12.1,239
2014,ASTON MARTIN,DB9,5.9,12,18,359
2014,ASTON MARTIN,RAPIDE,5.9,12,18,359
2014,ASTON MARTIN,V8 VANTAGE,4.7,8,17.4,338
2014,ASTON MARTIN,V8 VANTAGE,4.7,8,18.1,354
2014,ASTON MARTIN,V8 VANTAGE S,4.7,8,17.4,338
2014,ASTON MARTIN,V8 VANTAGE S,4.7,8,18.1,354
2014,ASTON MARTIN,VANQUISH,5.9,12,18,359
2014,AUDI,A4,2,4,9.9,202
2014,AUDI,A4 QUATTRO,2,4,11.5,230
2014,AUDI,A4 QUATTRO,2,4,10.8,214
2014,AUDI,A5 CABRIOLET QUATTRO,2,4,11.5,230
2014,AUDI,A5 QUATTRO,2,4,11.5,230
2014,AUDI,A5 QUATTRO,2,4,10.8,214
2014,AUDI,A6 QUATTRO,2,4,12,235
2014,AUDI,A6 QUATTRO,3,6,12.8,251
2014,AUDI,A6 QUATTRO TDI CLEAN DIESEL,3,6,9.8,224
2014,AUDI,A7 QUATTRO,3,6,13.1,258
2014,AUDI,A7 QUATTRO TDI CLEAN DIESEL,3,6,9.8,224
2014,AUDI,A8,3,6,13.1,258
2014,AUDI,A8,4,8,13.5,260
2014,AUDI,A8 TDI CLEAN DIESEL,3,6,10,227
2014,AUDI,A8L,3,6,13.1,258
2014,AUDI,A8L,4,8,14.7,288
2014,AUDI,A8L,6.3,12,18.2,361
2014,AUDI,A8L TDI CLEAN DIESEL,3,6,10.1,230
2014,AUDI,ALLROAD QUATTRO,2,4,11.8,242
2014,AUDI,Q5,2,4,12,239
2014,AUDI,Q5,3,6,12.9,258
2014,AUDI,Q5 HYBRID,2,4,9.9,212
2014,AUDI,Q5 TDI CLEAN DIESEL,3,6,10.3,246
2014,AUDI,Q7,3,6,15.1,304
2014,AUDI,Q7 TDI CLEAN DIESEL,3,6,12.9,294
2014,AUDI,R8,4.2,8,17.6,336
2014,AUDI,R8,4.2,8,21.2,407
2014,AUDI,R8,5.2,10,18.8,354
2014,AUDI,R8,5.2,10,21.1,409
2014,AUDI,R8 SPYDER,4.2,8,17.6,336
2014,AUDI,R8 SPYDER,4.2,8,21.2,407
2014,AUDI,R8 SPYDER,5.2,10,18.8,354
2014,AUDI,R8 SPYDER,5.2,10,21.1,409
2014,AUDI,RS5,4.2,8,15.3,306
2014,AUDI,RS5 CABRIOLET,4.2,8,15.2,308
2014,AUDI,RS7,4,8,15.3,290
2014,AUDI,S4,3,6,13.2,262
2014,AUDI,S4,3,6,14.6,285
2014,AUDI,S5,3,6,13.2,262
2014,AUDI,S5,3,6,14.6,285
2014,AUDI,S5 CABRIOLET,3,6,13.3,267
2014,AUDI,S6,4,8,14.2,281
2014,AUDI,S7,4,8,14.2,281
2014,AUDI,S8,4,8,15.4,297
2014,AUDI,SQ5,3,6,14.9,292
2014,AUDI,TT COUPE QUATTRO,2,4,10.4,209
2014,AUDI,TT ROADSTER QUATTRO,2,4,10.4,209
2014,AUDI,TTS COUPE QUATTRO,2,4,11.5,237
2014,AUDI,TTS ROADSTER QUATTRO,2,4,11.5,237
2014,BENTLEY,CONTINENTAL GT,4,8,15.4,297
2014,BENTLEY,CONTINENTAL GT,6,12,18.8,356
2014,BENTLEY,CONTINENTAL GT CONVERTIBLE,4,8,16.8,320
2014,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,6,12,20,380
2014,BENTLEY,CONTINENTAL GTC,4,8,16.7,322
2014,BENTLEY,CONTINENTAL GTC,6,12,20,380
2014,BENTLEY,FLYING SPUR,6,12,20,380
2014,BENTLEY,MULSANNE,6.8,8,22.3,437
2014,BMW,320i,2,4,10,193
2014,BMW,320i,2,4,10.4,200
2014,BMW,320i xDRIVE,2,4,10.2,202
2014,BMW,328d xDRIVE,2,4,7.6,181
2014,BMW,328d xDRIVE TOURING,2,4,7.6,181
2014,BMW,328i,2,4,10,193
2014,BMW,328i,2,4,10.4,200
2014,BMW,328i xDRIVE,2,4,10.6,209
2014,BMW,328i xDRIVE GRAN TURISMO,2,4,10.6,209
2014,BMW,328i xDRIVE TOURING,2,4,10.6,209
2014,BMW,335i,3,6,11.4,221
2014,BMW,335i,3,6,11.8,230
2014,BMW,335i xDRIVE,3,6,11.7,228
2014,BMW,335i xDRIVE,3,6,11.9,237
2014,BMW,335i xDRIVE GRAN TURISMO,3,6,11.9,232
2014,BMW,428i COUPE,2,4,10,193
2014,BMW,428i COUPE,2,4,10.4,200
2014,BMW,428i xDRIVE COUPE,2,4,10.6,209
2014,BMW,435i COUPE,3,6,11.4,221
2014,BMW,435i COUPE,3,6,11.8,230
2014,BMW,435i xDRIVE COUPE,3,6,11.7,228
2014,BMW,435i xDRIVE COUPE,3,6,11.9,237
2014,BMW,528i,2,4,10.2,202
2014,BMW,528i xDRIVE,2,4,10.6,209
2014,BMW,535d xDRIVE,3,6,9.2,213
2014,BMW,535i xDRIVE,3,6,11.9,232
2014,BMW,535i xDRIVE GRAN TURISMO,3,6,12.5,246
2014,BMW,550i xDRIVE,4.4,8,14.4,281
2014,BMW,550i xDRIVE GRAN TURISMO,4.4,8,15,292
2014,BMW,640i xDRIVE GRAN COUPE,3,6,11.9,232
2014,BMW,650i xDRIVE CABRIOLET,4.4,8,15,292
2014,BMW,650i xDRIVE COUPE,4.4,8,14.4,281
2014,BMW,650i xDRIVE GRAN COUPE,4.4,8,15,292
2014,BMW,740Li xDRIVE,3,6,12.5,246
2014,BMW,750i xDRIVE,4.4,8,15,292
2014,BMW,750Li xDRIVE,4.4,8,15,292
2014,BMW,760Li,6,12,18.7,356
2014,BMW,ACTIVEHYBRID 3,3,6,9.2,191
2014,BMW,ACTIVEHYBRID 5,3,6,10.5,214
2014,BMW,ACTIVEHYBRID 7L,3,6,10.5,212
2014,BMW,ALPINA B7 xDRIVE LWB,4.4,8,15,292
2014,BMW,ALPINA B7 xDRIVE SWB,4.4,8,15,292
2014,BMW,M5,4.4,8,17.3,338
2014,BMW,M5,4.4,8,16.2,317
2014,BMW,M6,4.4,8,17.3,338
2014,BMW,M6,4.4,8,16.2,317
2014,BMW,M6 CABRIOLET,4.4,8,17.3,338
2014,BMW,M6 CABRIOLET,4.4,8,16.2,317
2014,BMW,M6 GRAN COUPE,4.4,8,17.3,338
2014,BMW,M6 GRAN COUPE,4.4,8,16.2,317
2014,BMW,X1 xDRIVE28i,2,4,10.6,209
2014,BMW,X1 xDRIVE35i,3,6,13.2,260
2014,BMW,X3 xDRIVE28i,2,4,11.2,230
2014,BMW,X3 xDRIVE35i,3,6,12.6,253
2014,BMW,X5 xDRIVE35i,3,6,12.9,255
2014,BMW,X5 xDRIVE50i,4.4,8,16.3,320
2014,BMW,X6 M,4.4,8,18.1,370
2014,BMW,X6 xDRIVE35i,3,6,13.6,274
2014,BMW,X6 xDRIVE50i,4.4,8,16.4,324
2014,BMW,Z4 sDRIVE28i,2,4,10.8,209
2014,BMW,Z4 sDRIVE28i,2,4,10.4,200
2014,BMW,Z4 sDRIVE35i,3,6,13.7,278
2014,BMW,Z4 sDRIVE35i,3,6,12.7,253
2014,BMW,Z4 sDRIVE35is,3,6,13.7,278
2014,BUICK,ENCLAVE,3.6,6,14.3,283
2014,BUICK,ENCLAVE AWD,3.6,6,14.6,290
2014,BUICK,ENCORE,1.4,4,9.5,196
2014,BUICK,ENCORE AWD,1.4,4,10.2,212
2014,BUICK,LACROSSE,3.6,6,13.7,264
2014,BUICK,LACROSSE,3.6,6,18.4,250
2014,BUICK,LACROSSE AWD,3.6,6,13.7,264
2014,BUICK,LACROSSE AWD,3.6,6,19.4,264
2014,BUICK,LACROSSE eASSIST,2.4,4,9.6,189
2014,BUICK,REGAL,2,4,11.5,228
2014,BUICK,REGAL,2,4,11.6,225
2014,BUICK,REGAL AWD,2,4,12.3,246
2014,BUICK,REGAL eASSIST,2.4,4,9.6,189
2014,BUICK,VERANO,2,4,11.5,228
2014,BUICK,VERANO,2,4,11.6,225
2014,BUICK,VERANO,2.4,4,11.3,218
2014,CADILLAC,ATS,2,4,11.3,221
2014,CADILLAC,ATS,2,4,12.1,235
2014,CADILLAC,ATS,2.5,4,10.5,207
2014,CADILLAC,ATS,3.6,6,12.8,251
2014,CADILLAC,ATS AWD,2,4,11.8,232
2014,CADILLAC,ATS AWD,3.6,6,13.1,260
2014,CADILLAC,CTS COUPE,3.6,6,13.2,258
2014,CADILLAC,CTS COUPE AWD,3.6,6,13.3,262
2014,CADILLAC,CTS SEDAN,2,4,11.9,232
2014,CADILLAC,CTS SEDAN,3.6,6,12.9,248
2014,CADILLAC,CTS SEDAN AWD,2,4,12.6,248
2014,CADILLAC,CTS SEDAN AWD,3.6,6,13.1,260
2014,CADILLAC,CTS SEDAN Vsport,3.6,6,15.1,294
2014,CADILLAC,CTS SPORT WAGON,3,6,12.7,253
2014,CADILLAC,CTS SPORT WAGON,3.6,6,13.3,260
2014,CADILLAC,CTS SPORT WAGON AWD,3,6,12.8,255
2014,CADILLAC,CTS SPORT WAGON AWD,3.6,6,13.3,262
2014,CADILLAC,CTS-V COUPE,6.2,8,19.7,382
2014,CADILLAC,CTS-V COUPE,6.2,8,16.7,340
2014,CADILLAC,CTS-V SEDAN,6.2,8,19.7,382
2014,CADILLAC,CTS-V SEDAN,6.2,8,16.7,340
2014,CADILLAC,CTS-V SPORT WAGON,6.2,8,19.7,382
2014,CADILLAC,CTS-V SPORT WAGON,6.2,8,16.7,340
2014,CADILLAC,ESCALADE AWD,6.2,8,17,338
2014,CADILLAC,ESCALADE AWD,6.2,8,23.3,322
2014,CADILLAC,ESCALADE ESV AWD,6.2,8,18.8,377
2014,CADILLAC,ESCALADE ESV AWD,6.2,8,25.7,354
2014,CADILLAC,SRX,3.6,6,14.3,283
2014,CADILLAC,SRX AWD,3.6,6,14.8,294
2014,CADILLAC,XTS,3.6,6,13.6,262
2014,CADILLAC,XTS AWD,3.6,6,14,271
2014,CADILLAC,XTS Vsport AWD,3.6,6,14.8,290
2014,CHEVROLET,CAMARO,3.6,6,13.2,258
2014,CHEVROLET,CAMARO,3.6,6,14.2,269
2014,CHEVROLET,CAMARO 2LS,3.6,6,12.7,242
2014,CHEVROLET,CAMARO SS,6.2,8,15.3,294
2014,CHEVROLET,CAMARO SS,6.2,8,15,292
2014,CHEVROLET,CAMARO ZL1,6.2,8,19.7,382
2014,CHEVROLET,CAMARO ZL1,6.2,8,16.7,340
2014,CHEVROLET,CORVETTE,6.2,8,14.9,276
2014,CHEVROLET,CORVETTE,6.2,8,13.7,258
2014,CHEVROLET,CRUZE,1.4,4,9.1,179
2014,CHEVROLET,CRUZE,1.4,4,9.1,179
2014,CHEVROLET,CRUZE,1.8,4,10.5,202
2014,CHEVROLET,CRUZE,1.8,4,9.5,189
2014,CHEVROLET,CRUZE DIESEL,2,4,8.7,192
2014,CHEVROLET,CRUZE ECO,1.4,4,9.1,177
2014,CHEVROLET,CRUZE ECO,1.4,4,8.4,163
2014,CHEVROLET,EQUINOX,2.4,4,10.5,209
2014,CHEVROLET,EQUINOX,3.6,6,13.9,276
2014,CHEVROLET,EQUINOX,3.6,6,18.8,259
2014,CHEVROLET,EQUINOX AWD,2.4,4,11.5,230
2014,CHEVROLET,EQUINOX AWD,3.6,6,14.8,290
2014,CHEVROLET,EQUINOX AWD,3.6,6,19.8,272
2014,CHEVROLET,EXPRESS 1500 CARGO,4.3,6,17.1,347
2014,CHEVROLET,EXPRESS 1500 CARGO,5.3,8,18,366
2014,CHEVROLET,EXPRESS 1500 CARGO,5.3,8,23.5,334
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,5.3,8,18.3,380
2014,CHEVROLET,EXPRESS 1500 CARGO AWD,5.3,8,23.7,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,5.3,8,18.6,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV,5.3,8,23.9,344
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,5.3,8,18.3,380
2014,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,5.3,8,25.3,362
2014,CHEVROLET,EXPRESS 1500 PASSENGER,5.3,8,18.6,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER,5.3,8,23.9,344
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,5.3,8,18.3,380
2014,CHEVROLET,EXPRESS 1500 PASSENGER AWD,5.3,8,25.3,362
2014,CHEVROLET,EXPRESS 2500 PASSENGER,4.8,8,21.1,414
2014,CHEVROLET,EXPRESS 2500 PASSENGER,6,8,21.9,432
2014,CHEVROLET,EXPRESS 2500 PASSENGER,6,8,30,411
2014,CHEVROLET,EXPRESS 3500 PASSENGER,4.8,8,21.3,419
2014,CHEVROLET,EXPRESS 3500 PASSENGER,6,8,22.1,435
2014,CHEVROLET,EXPRESS 3500 PASSENGER,6,8,30.2,413
2014,CHEVROLET,IMPALA,2.5,4,11.3,221
2014,CHEVROLET,IMPALA,3.6,6,12.6,244
2014,CHEVROLET,IMPALA,3.6,6,16.7,229
2014,CHEVROLET,IMPALA ECO,2.4,4,10,200
2014,CHEVROLET,MALIBU,2,4,11.5,228
2014,CHEVROLET,MALIBU,2.5,4,9.3,184
2014,CHEVROLET,ORLANDO,2.4,4,12.2,244
2014,CHEVROLET,ORLANDO,2.4,4,11.8,235
2014,CHEVROLET,SILVERADO,4.3,6,13.4,271
2014,CHEVROLET,SILVERADO,4.3,6,18.9,269
2014,CHEVROLET,SILVERADO,5.3,8,14.6,292
2014,CHEVROLET,SILVERADO,5.3,8,19.5,270
2014,CHEVROLET,SILVERADO,6.2,8,16.3,324
2014,CHEVROLET,SILVERADO 4WD,4.3,6,14.2,290
2014,CHEVROLET,SILVERADO 4WD,4.3,6,20,285
2014,CHEVROLET,SILVERADO 4WD,5.3,8,14.9,299
2014,CHEVROLET,SILVERADO 4WD,5.3,8,19.9,277
2014,CHEVROLET,SILVERADO 4WD,6.2,8,16.4,329
2014,CHEVROLET,SONIC,1.4,4,9.1,184
2014,CHEVROLET,SONIC,1.4,4,8.5,173
2014,CHEVROLET,SONIC,1.8,4,9.6,191
2014,CHEVROLET,SONIC,1.8,4,8.9,182
2014,CHEVROLET,SONIC 5,1.4,4,9.1,184
2014,CHEVROLET,SONIC 5,1.4,4,8.5,172
2014,CHEVROLET,SONIC 5,1.8,4,9.6,191
2014,CHEVROLET,SONIC 5,1.8,4,8.9,182
2014,CHEVROLET,SONIC 5 RS,1.4,4,9.4,191
2014,CHEVROLET,SONIC 5 RS,1.4,4,8.7,182
2014,CHEVROLET,SONIC RS,1.4,4,9.4,191
2014,CHEVROLET,SONIC RS,1.4,4,8.7,182
2014,CHEVROLET,SPARK,1.2,4,7.7,159
2014,CHEVROLET,SPARK,1.2,4,7.6,159
2014,CHEVROLET,SUBURBAN,5.3,8,16,317
2014,CHEVROLET,SUBURBAN,5.3,8,21.5,294
2014,CHEVROLET,SUBURBAN 4WD,5.3,8,16,317
2014,CHEVROLET,SUBURBAN 4WD,5.3,8,21.5,294
2014,CHEVROLET,TAHOE,5.3,8,16,317
2014,CHEVROLET,TAHOE,5.3,8,21.5,294
2014,CHEVROLET,TAHOE 4WD,5.3,8,16,317
2014,CHEVROLET,TAHOE 4WD,5.3,8,21.5,294
2014,CHEVROLET,TRAVERSE,3.6,6,14.3,283
2014,CHEVROLET,TRAVERSE AWD,3.6,6,14.6,290
2014,CHEVROLET,TRAX,1.4,4,9.4,193
2014,CHEVROLET,TRAX,1.4,4,9.1,186
2014,CHEVROLET,TRAX AWD,1.4,4,10,207
2014,CHRYSLER,300,3.6,6,12.4,237
2014,CHRYSLER,200 CONVERTIBLE,2.4,4,11.7,232
2014,CHRYSLER,200 CONVERTIBLE,2.4,4,12.9,246
2014,CHRYSLER,200 CONVERTIBLE FFV,3.6,6,12.5,242
2014,CHRYSLER,200 CONVERTIBLE FFV,3.6,6,17,230
2014,CHRYSLER,200 SEDAN,2.4,4,11.2,225
2014,CHRYSLER,200 SEDAN,2.4,4,12,230
2014,CHRYSLER,200 SEDAN FFV,3.6,6,12.5,242
2014,CHRYSLER,200 SEDAN FFV,3.6,6,17,230
2014,CHRYSLER,300 (MDS),5.7,8,15.8,294
2014,CHRYSLER,300 AWD,3.6,6,12.8,251
2014,CHRYSLER,300 AWD (MDS),5.7,8,16.1,308
2014,CHRYSLER,300 AWD FFV,3.6,6,12.8,251
2014,CHRYSLER,300 AWD FFV,3.6,6,17.3,237
2014,CHRYSLER,300 FFV,3.6,6,12.4,237
2014,CHRYSLER,300 FFV,3.6,6,16.8,222
2014,CHRYSLER,300 SRT (MDS),6.4,8,16.7,317
2014,CHRYSLER,TOWN & COUNTRY FFV,3.6,6,14.1,276
2014,CHRYSLER,TOWN & COUNTRY FFV,3.6,6,19.7,269
2014,DODGE,AVENGER,2.4,4,11.2,225
2014,DODGE,AVENGER,2.4,4,12,230
2014,DODGE,AVENGER FFV,3.6,6,12.5,242
2014,DODGE,AVENGER FFV,3.6,6,17,230
2014,DODGE,CHALLENGER,3.6,6,13.2,258
2014,DODGE,CHALLENGER,5.7,8,15.6,301
2014,DODGE,CHALLENGER (MDS),5.7,8,15.8,294
2014,DODGE,CHALLENGER SRT,6.4,8,16.8,320
2014,DODGE,CHALLENGER SRT (MDS),6.4,8,16.7,317
2014,DODGE,CHARGER,3.6,6,13.2,258
2014,DODGE,CHARGER,3.6,6,12.4,237
2014,DODGE,CHARGER (MDS),5.7,8,15.8,294
2014,DODGE,CHARGER AWD,3.6,6,12.8,251
2014,DODGE,CHARGER AWD (MDS),5.7,8,16.1,308
2014,DODGE,CHARGER AWD FFV,3.6,6,12.8,251
2014,DODGE,CHARGER AWD FFV,3.6,6,17.3,237
2014,DODGE,CHARGER FFV,3.6,6,13.2,258
2014,DODGE,CHARGER FFV,3.6,6,18.3,251
2014,DODGE,CHARGER FFV,3.6,6,12.3,235
2014,DODGE,CHARGER FFV,3.6,6,16.8,222
2014,DODGE,CHARGER SRT (MDS),6.4,8,16.7,317
2014,DODGE,DART,2,4,9.4,186
2014,DODGE,DART,2.4,4,10.1,198
2014,DODGE,DART,2.4,4,10.5,202
2014,DODGE,DART FFV,2,4,9.9,198
2014,DODGE,DART FFV,2,4,14.2,195
2014,DODGE,DART GT,2.4,4,10.6,212
2014,DODGE,DART GT,2.4,4,10.2,202
2014,DODGE,DART TURBO AERO,1.4,4,8.4,168
2014,DODGE,DART TURBO AERO,1.4,4,8.5,168
2014,DODGE,DURANGO AWD (MDS),5.7,8,17.3,331
2014,DODGE,DURANGO AWD FFV,3.6,6,13.9,278
2014,DODGE,DURANGO AWD FFV,3.6,6,17.7,250
2014,DODGE,GRAND CARAVAN FFV,3.6,6,13.7,271
2014,DODGE,GRAND CARAVAN FFV,3.6,6,19.2,264
2014,DODGE,JOURNEY,2.4,4,12.7,255
2014,DODGE,JOURNEY AWD,3.6,6,14.5,285
2014,DODGE,JOURNEY FFV,3.6,6,14.2,276
2014,DODGE,JOURNEY FFV,3.6,6,18.9,259
2014,FIAT,500 ABARTH CABRIO,1.4,4,8.5,179
2014,FIAT,500 ABARTH HATCHBACK,1.4,4,8.5,179
2014,FIAT,500 CABRIO,1.4,4,8.7,182
2014,FIAT,500 CABRIO,1.4,4,7.9,166
2014,FIAT,500 CABRIO TURBO,1.4,4,8.5,179
2014,FIAT,500 HATCHBACK,1.4,4,8.7,182
2014,FIAT,500 HATCHBACK,1.4,4,7.6,156
2014,FIAT,500 HATCHBACK TURBO,1.4,4,8.5,179
2014,FIAT,500L TURBO,1.4,4,10,200
2014,FIAT,500L TURBO,1.4,4,9.3,193
2014,FORD,C-MAX HYBRID,2,4,5.6,138
2014,FORD,E150 VAN FFV,4.6,8,17.7,373
2014,FORD,E150 VAN FFV,4.6,8,24.1,350
2014,FORD,E150 VAN FFV,5.4,8,19.3,396
2014,FORD,E150 VAN FFV,5.4,8,24.9,360
2014,FORD,E150 WAGON FFV,4.6,8,18.6,386
2014,FORD,E150 WAGON FFV,4.6,8,25.5,368
2014,FORD,E350 WAGON,6.8,10,23.9,488
2014,FORD,E350 WAGON FFV,5.4,8,20.6,421
2014,FORD,E350 WAGON FFV,5.4,8,26.7,382
2014,FORD,EDGE,2,4,11.3,225
2014,FORD,EDGE,3.5,6,12.6,248
2014,FORD,EDGE AWD,3.5,6,13.3,264
2014,FORD,EDGE AWD,3.7,6,13.7,281
2014,FORD,ESCAPE,1.6,4,10.4,209
2014,FORD,ESCAPE,2,4,10.9,221
2014,FORD,ESCAPE,2.5,4,10.9,216
2014,FORD,ESCAPE AWD,1.6,4,10.5,214
2014,FORD,ESCAPE AWD,2,4,11.2,230
